dur_ns,gap_ns
17383,21415449
18665,21436559
14427,21464692
17323,21312394
17663,21570451
18434,20990690
18144,21522791
18806,21193350
19236,21287829
19827,21360496
17734,21648437
15770,20963678
16040,21374503
16220,21554591
18174,21146462
18394,21304020
15279,21314649
17944,21520747
9278,21426831
15229,21388218
18295,21003082
11732,21307697
19266,21349024
19397,21340999
12293,21334326
16551,21325090
17754,21335017
12233,21344536
16831,21651213
17703,21006168
16641,21364403
15128,21608653
20398,21074618
16170,21327553
17132,21291897
17573,21331551
12924,21247603
9848,21067474
4689,21314489
3337,21295723
19176,22095079
15930,20684102
14538,21644881
18024,21877029
11181,20419844
6612,21298780
17152,21946679
10580,20770905
17684,21418685
13646,21284152
17172,21686710
16742,21341700
15049,21021978
16982,21610256
12504,21251280
9077,21301094
18655,21704003
18435,20773991
9649,21255287
15610,21402044
15329,21431730
16261,21603573
13756,21217116
19266,21663907
16150,21272921
12263,21069447
13566,21013863
10059,21339396
9848,22046277
17994,20960252
16561,21589737
16702,21082993
18285,21323566
17082,21581663
12082,21048859
17513,21356327
16171,21605577
12073,20902704
17713,21562546
17673,21578837
16461,20943280
18635,21484719
16882,21521259
17343,21090176
10640,20984157
18185,21380894
15128,21597282
17112,21417904
16651,21532049
17283,21129350
12514,21399529
11071,20891663
14638,21393468
18856,21313817
14026,21699294
16191,20944482
15650,21601620
10851,21028541
19186,21730673
16942,21049059
17052,21357640
17413,21607671
15930,21259766
13505,21024413
17443,21650712
19847,21037748
6412,21262361
19096,21696899
17022,21048218
11782,21299661
17443,21711977
17402,21328757
12283,21241131
17272,21432982
17703,21274965
14067,21613952
22923,20830528
15620,21514295
12454,21344015
10480,21025074
17593,21680559
11822,21774465
15940,20935465
18415,21335268
16391,21280866
17252,21358883
18054,21356578
17763,21578346
17563,21258844
16932,21117608
13175,21005577
13175,22036478
14397,20661581
17473,21713189
14037,21226734
8776,20982775
8336,21341169
17372,21694986
22192,21326421
19217,21792318
15299,20612097
20147,21491002
17543,21488306
16101,21347350
17272,21273232
12043,21296475
16962,21364523
16641,21338455
16842,21343443
15729,21312756
16481,21430778
14347,21227365
16481,21730522
16841,20952197
16641,21339406
18115,21455204
19016,21192830
18505,21354474
18905,21327644
9207,21502052
14477,21156501
19577,21619874
12033,21003564
19276,21396253
16691,21712599
12363,20894368
15860,21122938
17333,21916502
12644,20967967
17123,21375153
16982,21481444
12102,21139410
18966,21339024
18825,21491593
17413,21007651
17573,21306645
17523,21618321
16050,21275696
17653,21349394
17974,21452859
16090,21197379
18395,21348373
17714,21331010
17342,21380644
18214,21875235
16311,21069337
16281,20711955
18926,21370314
18335,21961237
18415,20958138
17714,21073926
17954,21355336
17202,21583476
18214,21454372
16421,21208490
17202,21335018
16321,21340998
17423,21364363
19226,21287749
17203,21096829
17443,21369564
17393,21519374
13455,21300733
14568,21603954
17924,21161110
17262,21271349
18534,21502844
18746,21124731
18164,21382297
12163,21290313
17593,21372699
16832,21339456
13565,21308949
17783,21415068
18845,21269515
17864,21333344
18715,21144851
14557,21509095
17693,21380092
16581,21552528
17923,21089435
14548,21552266
17674,21159457
19536,21289874
16011,21312354
9999,21031827
6562,21286968
17713,21858223
9989,20844023
14677,21638329
18154,21437671
10881,21246240
10009,20999827
17313,21859174
18194,20868410
16281,21659057
17844,21467037
16080,21733578
55104,20910318
18525,21210954
18325,21187370
18214,21252513
18414,21840048
16571,21052385
17533,21313077
17673,21421150
15850,21218488
51797,21509707
20538,21279795
18345,21153054
12043,21105085
12003,21707860
17684,21253905
11992,21559311
18274,20849403
17353,21597842
18365,21326282
18194,21661032
20368,21008162
13947,21295774
18264,21699594
18675,21004015
18324,21386064
17333,21330689
13586,21321102
18074,21300072
18625,21094335
17033,21616908
17563,21284593
11862,21371627
11822,21000769
7314,21241211
5821,21354975
5791,21305312
3306,21323256
2505,21325209
17634,21739609
12434,21299010
16401,21420669
10720,21042027
17343,21582423
17903,21473179
18135,21237353
17603,21337884
17133,21333234
16341,21743968
17162,20986382
17383,21317144
14718,21705375
17183,20919205
32231,20974399
18685,21448361
17342,21748146
16261,21205102
17844,21225993
16521,21396524
16250,21478117
12734,21083294
20299,21390932
16491,21332033
12343,21631025
16340,21027990
9077,21254556
16311,21409408
16782,21333765
16952,21331642
19046,21407905
18395,21300483
17733,21296475
16501,21546626
17383,21119432
18655,21329087
17714,21610606
17884,21058056
17092,21445707
17984,21185406
19347,21140762
16952,21575621
17172,21591571
17383,21071662
12484,21070640
16621,21583616
17453,21355647
19526,21618111
16120,20944021
18154,21189915
17854,21622659
17292,21595248
16361,21063557
15860,21422261
17914,21197148
12874,21292990
19015,21505108
17373,21199161
16421,21402265
16531,20923884
17913,21856620
17162,21197248
16771,21327865
17162,21336380
12243,20986782
19096,21451877
19196,21558820
13325,21274463
16752,21537629
18334,21394991
16010,21107620
17193,21502673
19897,21148727
17703,21063687
12844,21308407
16451,21754177
16961,21240641
12544,21860436
13735,20415908
16802,21725622
15509,21495020
18866,21133408
17062,21328956
16130,21324929
17303,21580991
13856,21048208
17673,21376015
17473,21378830
17072,21342061
15980,21438673
18725,21071673
17413,21783802
16311,20974689
16711,21339517
17433,21371537
17082,21311273
12333,21358652
15559,21019754
18926,21378620
9017,21216064
17263,21725293
17724,21539642
16892,21462659
16481,21191498
17893,21143538
16141,21110284
17834,21506371
18395,21455605
17373,21302075
17473,21321102
18034,21054650
18425,21525616
10590,20997934
17663,22039434
16351,20962917
15439,21042297
17904,21882117
17512,21089336
16762,21694053
19146,20988186
18235,21305251
17623,21485051
18915,21404188
17713,21141193
12022,21011248
12624,22028013
12062,20893376
16892,21716767
20118,21245179
18925,21030785
18635,21380313
19957,21384671
17162,21284152
16251,21447189
16430,21485893
17603,21117648
17263,21342181
11622,21353402
19266,21206387
16471,21379020
19176,21112910
9658,21215613
16942,21723179
11171,21493446
16100,21382748
16451,21138427
17423,21447109
20749,21152174
16672,21078725
19276,21336260
17954,21639421
17513,21280435
14567,21359905
9979,20993154
16612,21644370
10390,21229379
19647,21484119
17163,21033089
16621,21609415
12413,21352210
17002,21300934
16491,21589447
17133,21301124
13745,20861688
16742,22008926
19176,20963469
58751,21433002
16681,21175738
16251,21429806
18244,20945034
17373,21891565
16892,21217577
17072,21177111
16661,21218308
12403,21200605
16862,21634352
12314,21514465
14748,21228287
17132,21360686
16541,21498867
20478,21011599
18324,21386344
18155,21284252
13585,21400542
18645,21260718
14226,21325029
17102,21593935
17393,21077473
16982,21389931
16952,21332243
9729,20955984
17944,21713801
17313,21467528
16341,21191066
17062,21047027
16241,22156123
12002,20858311
19257,21275876
18395,21030465
19457,21690166
18735,21278612
16911,21419938
20508,21193782
17583,21338595
16311,21570300
19507,21142576
19176,21335078
13636,21369843
13976,21274855
15299,21267671
16782,21450445
16942,21305442
18916,21281728
17493,21410009
17052,21262512
16982,21090608
14387,21705175
16552,21196446
17102,21090718
17152,21631947
11832,21226664
12003,21084987
19216,21772492
13736,20993104
15950,21322714
17393,21684827
17072,21234288
15560,21288570
17653,21083395
7975,21222405
6382,21322876
3858,21325359
3326,21308348
5089,21352501
17403,21484689
18495,21410380
17432,21498737
12453,21336781
16581,21372819
17703,21335539
18905,21323958
17653,21363451
13295,21224680
15610,21332924
13456,21340428
19917,21083084
20298,21654980
19126,21344887
15900,21029151
12924,21317946
16591,21601850
13736,21355337
16030,21324739
17723,21319859
13886,21325621
18555,21375233
19266,21349806
16872,21331080
16892,21330530
16381,21294061
20909,21335559
17052,21359374
11953,21300733
11561,21211917
12774,21591471
18895,20929254
14567,21616157
17803,21368160
17513,21385373
14397,21243135
18064,21506601
12825,20824175
19086,21679717
17523,21076351
18445,21346480
9478,21239918
14367,21633049
17002,21349546
16662,21355636
17403,21358132
14928,20945484
18365,21709443
17352,21399059
16872,21481413
17292,21111177
17252,21345237
17142,21657585
17042,21020827
17713,21325890
7043,20914516
17112,21459653
19356,21807307
16721,21102971
12363,21350537
16441,21395882
10931,21036105
17643,21307477
19356,21699404
18074,21095196
17593,21209141
17182,21698553
17393,20973326
17323,21322194
16281,21667314
15889,21492274
15819,21070300
16281,21584908
17613,21108011
19307,21074846
17373,21648399
19606,21273263
17253,21393858
18215,21617780
18275,20979529
18555,21337663
19366,21129692
18235,21534653
13806,21306645
17132,21558088
16792,21177140
17162,21302918
12503,21439916
19757,21214120
17182,21370725
24135,21381606
14497,20969980
4048,21221504
15469,21442030
17924,21367409
12303,21528552
17443,21533993
10951,20885000
16351,21621227
18224,21398217
17182,21340960
19406,21335779
19146,21437130
17643,20972125
16310,21597452
14116,20967576
14066,21373660
18345,21646394
17523,21484029
17643,21187911
17343,21323566
13385,21606560
15450,20753763
19828,21636375
16972,21040033
10831,21219731
11912,21388589
12113,21701969
9127,21185917
6582,21057035
11843,21763354
17743,21260849
10871,21065901
12073,21667985
17383,21017460
17152,21852162
19096,21205143
15980,21189474
14167,21311263
16931,21501352
20348,20862568
16591,21569219
17363,21567305
19216,21208781
15870,21114523
17122,21844216
17072,21078696
19106,21294982
18315,21619905
17112,20780013
14567,21294021
18455,21315872
17873,21695447
17663,21315911
14297,21409679
18996,21564369
18304,21281979
15900,21192209
17963,21483628
16731,21068396
16791,21451337
17873,21183032
18785,21044060
16130,21658397
17063,21342251
17803,21348544
17864,21306855
16451,21693122
19487,20669084
11922,21716196
17593,21271038
16572,21014935
12304,21294071
18034,21634672
16802,21092021
17543,21345107
17794,21562035
17362,21331582
17593,21315982
13896,21045833
11612,21596821
18975,21547739
18264,21166511
15930,21390071
14047,21569970
18295,21091880
17653,21320251
17232,21424486
13856,21179836
12954,21322815
17363,21615917
18745,20976914
13946,21403356
17333,21578196
19196,20845927
14807,21316463
15499,21883020
18285,20841889
12353,21273643
16611,21376887
15889,21578036
13405,21064058
5922,21246300
16391,21693052
17012,21337112
13977,21495951
18064,21047627
14257,21438543
17653,21092622
16281,21337903
18575,21645182
19226,21484971
13886,21083093
18184,21432773
19096,21533251
12153,20763331
18996,21471525
17924,21632077
17934,21171150
15459,21114203
17062,21853073
16842,21070560
16080,21328787
18685,21560783
14047,20823955
16591,21370846
16501,21808419
18795,21107550
16731,21338294
15790,21062525
17734,21599446
16050,21157975
14327,21169796
16421,21923827
17363,21077493
14237,21035995
12343,21700236
16771,21267452
18204,21466765
10830,20852019
4859,21298870
6593,21356428
12003,21424046
10199,21291246
12744,21366297
13746,21333615
11843,21307045
15699,21641025
14197,21024483
12133,21309230
17613,21430758
15559,21276779
13204,21511821
18004,21711677
19817,21444354
16621,20962647
18134,21645352
17914,21124672
17212,20968378
17172,21627178
16381,21537369
16831,21236553
19046,21461095
17473,21065050
14387,21665760
8035,20635832
18866,21667484
14657,21336992
17203,21674587
13655,21109434
18304,21233577
12623,21574850
14417,21109683
16401,21325821
13475,21040063
17172,21383519
14718,21547118
9608,21296906
17052,21710205
14377,20723727
10079,21277920
19437,21992115
17362,20756570
10820,21501872
14888,21499738
16771,21314750
16702,21301164
18876,21752845
16371,20900340
15840,21274674
16972,21437552
18304,21089786
17192,21528763
11922,21386084
19326,21265316
18735,21402396
9638,20910068
17203,21702349
16641,21340238
19707,21079247
17774,21322434
16731,21587364
16782,21584427
17543,21133659
18364,21279454
17553,21464361
17062,20928323
18044,21611318
15990,21450666
17283,21330890
17433,21286697
17644,21419286
17563,21174096
14036,21360576
18826,22020027
18214,20622046
18104,21141704
16601,21635965
17713,21269134
17814,21283701
18695,21336421
14487,21310863
11943,21309129
11572,21340459
12433,21073746
7704,21262021
4678,21348303
13676,21665309
11832,21316233
13846,21744920
17614,21044230
17994,21247604
18314,21353493
17402,21324729
17222,21442320
18355,21637587
17824,20910439
16551,21413255
7013,20917142
16621,21985974
9148,20711554
18234,21514737
12444,21427722
14306,21339427
17443,21383919
17573,21316844
17964,21372249
18034,21336370
18756,21278912
18866,21094065
18405,21342913
18675,21567356
12924,21243135
8115,21046134
18485,21711296
18505,21339627
18515,21355457
12333,21273823
15950,21375464
16592,21572946
12574,20965352
17694,21474801
17433,21674338
14076,20954091
19416,21375855
17323,21338845
19387,21193231
13856,21532140
16061,21328876
18004,21296986
16992,21305433
17984,21344426
17172,21296706
8767,20998935
13275,21343875
14447,21351740
12063,21587643
12644,21540676
18464,21260077
25538,21280616
15990,21364694
17442,21276909
17964,21335268
17122,21450495
14277,21285285
16972,21227846
14377,21337944
13645,21032940
11852,21616949
16371,21514696
17272,21358592
18054,21076341
15349,21661573
19036,21097581
17924,21337773
16962,21662856
19346,20995980
16632,21349876
19336,21457649
19457,20952207
4859,21201016
5350,21324669
12314,21688453
7203,21097532
6893,21216705
11191,21431079
12163,21526679
6422,21058437
5540,21340549
12463,21636075
12253,21437942
14557,21255418
12313,21314029
12964,21386465
7163,20968879
12183,21645532
11151,21604275
14177,21088154
8997,21266629
11972,21490431
13034,21231253
12253,21318176
