dur_ns,gap_ns
1613,22033354
1593,20992725
1593,20992655
2585,22017644
1493,20971525
1332,21007192
1733,21992497
1502,20998095
1313,21007101
2835,22018126
1483,20985611
1142,20986283
3516,22034476
6271,21173866
2344,20812475
1763,22001324
1443,20979750
1864,21013694
1192,21975716
1462,21004507
1603,21023041
1443,21991946
1393,21001211
861,20974611
2935,22070033
1062,20946037
1463,20993726
2555,22061527
1282,20971886
972,20987054
1292,21991916
1583,20996872
1312,20989359
952,21977939
471,20999658
491,21012071
721,21992247
1011,21041487
6181,21076392
1593,21909601
1082,20983838
1343,20999377
2775,22019448
892,20963740
762,21001451
811,22036701
1212,20997684
1032,20964551
1252,22012395
902,21000519
711,21006261
811,22018025
982,20981744
1523,21014916
1844,21990834
951,20973399
762,21026808
762,21989161
751,21006000
752,21001561
1352,22028175
992,20978227
922,20969461
742,22026611
751,20998486
862,21015297
761,22001735
751,21011059
982,20999938
842,21976557
1092,21007383
1142,20981293
1413,22002005
982,20999027
631,20981934
841,22017154
791,20991903
682,21005879
661,21987578
611,20995851
752,21031367
752,21994531
761,21001652
792,21005719
802,21986225
791,21012523
791,20995610
801,21994481
791,21009376
792,20996401
792,22001374
791,21012983
802,20985521
792,22000472
801,20997905
802,21002152
791,22019809
811,21004327
792,20979539
761,21990083
661,21006992
681,20998155
1583,21998388
632,20993766
691,21000470
732,22009068
651,21003285
621,20993646
631,22004039
662,21005619
651,20987706
632,22006653
641,20996011
651,20996923
631,22005742
651,20997985
652,21005438
1122,22016272
972,20972657
852,21003305
841,22024628
761,20980502
731,20985220
751,22013617
761,21000079
731,20994929
702,22006563
621,20996713
611,21000739
751,22005923
762,20994678
691,21001281
632,21994120
1092,21034774
682,20975903
622,21995132
672,21000339
751,21010489
761,21989141
752,21002182
742,20999778
732,22000372
661,20999568
631,20998265
651,21997697
661,21005890
661,20997724
661,21997807
652,21008394
651,21000179
642,21992567
691,21000219
661,21001341
682,22000562
691,21000380
681,20998856
752,22029677
762,20997163
762,21002223
761,21988620
772,21009486
761,21003726
761,21997076
762,20982174
1002,21022792
1022,21967600
841,21022331
752,21007502
801,21975666
1072,21012883
781,20979580
862,22007585
852,21008224
731,20994749
601,21995242
712,21000920
671,21005449
791,21992127
602,21003384
731,21000310
591,21999129
601,20998165
632,21000900
601,21998449
671,21002754
1373,21013253
751,21989261
631,20996041
601,20999237
601,21999230
601,21004788
1392,21008254
1422,22053572
1412,20950305
2635,21046155
1292,21965056
1152,20994187
1693,21010980
1313,21996504
1172,20983167
962,21006781
1402,22004370
1092,20987234
1313,21025867
1452,21994051
2214,21014175
1362,20988427
1303,21987447
1072,21008895
921,21004508
1493,22004900
1133,20964932
1212,21013004
1082,21992797
691,20994639
751,21000910
652,22003267
691,20996773
581,20997123
541,21990063
581,21014756
581,21003154
731,21999100
581,20996642
732,21009336
631,21991606
571,21011109
551,20991342
551,22010632
541,21006190
1784,21016389
1152,21978812
921,21013564
752,20990280
752,22013156
732,20982886
791,21016901
771,21998749
761,21000870
782,21002112
1994,22042562
2274,20997163
771,20960184
1343,22015119
2034,21034804
751,20952520
772,21997015
761,21003035
761,20999317
772,21991645
891,21009427
812,20996391
802,21996485
791,20998977
982,21017922
1192,22009750
932,20977486
812,21005048
802,22000121
801,20998617
741,21001090
1002,22005331
1302,20998346
1733,20993166
1233,21992797
2365,21007092
2214,21008916
1332,22059022
1433,20932882
1192,20981193
692,21994551
1042,21030847
761,20974080
751,22021512
771,20997694
752,21002082
762,21998749
762,21000239
832,20992785
801,22008548
811,21002884
802,20994768
802,21998118
802,20999798
792,21000710
791,21998980
1042,20999828
1543,21029804
1042,21971458
1022,21002844
741,20998676
781,21975736
781,20996552
671,20999668
742,21999670
781,21007774
731,21000519
722,21997837
802,21016540
812,21012933
801,22000673
812,20998926
812,21001922
812,21997747
812,21002093
802,20997183
801,22002206
832,20994959
812,21005879
811,22002597
992,20995430
822,21001942
801,21997036
911,21005459
1153,20983136
1002,21981216
1613,21025607
741,20978308
741,21999611
681,21001491
601,21002373
762,22015781
791,21013344
1092,20992645
801,22002205
801,21004277
861,21006100
1383,21996805
761,20998546
771,20996482
762,21999550
752,21002323
772,20998025
761,21998619
761,21002463
772,21000900
761,21995794
791,21006671
831,21003385
802,21994270
801,21003235
1523,21002714
1162,22008738
772,20987995
761,20999899
791,22003949
772,20996281
882,20981484
762,22016412
2394,21089017
1343,20927902
1162,21994241
1964,21038230
2154,20972898
1233,21960106
1032,20991423
742,20993125
762,22018877
772,21016580
762,21000359
902,21998118
901,20985602
822,20988857
962,22009820
712,20992364
872,21004367
992,22003518
792,21000109
731,21013845
911,22007606
752,20969430
1193,21021860
1633,22033585
1844,20986623
651,20963811
1573,22016081
1323,20998015
1653,21005660
762,22003988
812,20977827
762,21001231
1352,22030950
741,20992905
742,20999908
732,21983791
741,21012092
742,21002192
732,21999621
751,21004708
732,20999106
742,21998699
752,21002133
762,20999167
741,21997447
741,21001992
1122,20984570
3247,22085091
2624,21124133
1763,20806915
2625,22323420
2755,21003225
2745,20770396
3356,22094830
2514,20803489
2003,21021469
2645,22310486
2655,20998435
1914,20710804
2695,22309124
2645,20720332
1562,20923565
2645,22337506
2905,20706717
2795,21002704
2765,22291400
2755,21002974
2705,20714170
2775,21986717
2936,20988216
2635,21296467
2024,21884213
2945,21120456
2855,21009226
2866,21997907
2875,21212269
3296,20787358
1834,21697281
9017,21023633
2394,20972688
2776,22299735
2625,21010278
3046,20952309
2875,22067619
2835,20980091
3306,20999979
2595,21724182
2735,21273443
2836,20708149
3076,22181393
2816,21113402
3316,20901774
2665,22098788
2765,20715483
961,20966215
2645,22317829
1783,20704753
2324,20989529
2645,22305346
1873,20690156
2755,21083215
2625,21909661
1292,20962258
2745,21106038
2565,21912046
2985,21039353
1403,20979169
2635,22032182
2655,20983498
2745,20985391
2785,22005351
2866,21291177
2024,20709802
2856,22302401
2675,20722106
1973,21027240
1623,21940058
1052,20994769
1012,20997724
2555,21998739
2906,21025206
2725,21295816
3146,21747105
2705,21176572
2725,21078145
2905,21766302
2816,20948621
2335,21043090
2345,21930170
9427,21011982
2695,21036196
2044,21961599
992,20978158
771,20998977
1032,21998508
952,21009487
922,20990831
1172,21994662
1673,21007873
901,21007333
1152,22010220
922,20981013
771,21004177
872,21981807
1132,21030456
1213,20998285
832,21980595
1422,21033753
1693,20995059
1002,21974543
781,21002524
781,20998997
1052,22000642
1363,21002243
1744,21052257
862,21941271
1082,21013043
1042,21001512
802,21998368
1022,21011150
762,20996141
752,22000322
772,21001822
771,20993938
761,21991926
792,21006230
862,21008695
792,21996695
762,21002684
751,21000901
752,21998498
982,20991984
752,20995660
772,22013998
772,21000910
791,20999799
972,21999941
761,20994769
932,20994037
872,22010892
761,20991443
751,21011150
761,21995743
761,21003245
1032,20997283
1002,21995313
761,20995731
772,20980872
632,21997146
572,21016670
541,20994689
531,21999781
531,21009337
571,20986313
581,21997356
1223,21016339
782,21005389
761,22012225
761,20999137
791,20986814
762,22008116
771,20994459
792,20997293
811,21986787
781,20999518
842,21019234
841,22007296
762,21004156
762,20997384
761,21997307
1032,20987214
752,21009326
772,21996625
752,20999488
742,20978418
732,22030639
741,21002574
761,21002714
851,21997707
762,20998385
741,20997565
742,21974042
742,21017171
741,20997905
1022,22024958
821,20981074
982,20997113
922,22001865
832,20993436
591,20984810
611,22001645
521,21013043
591,20995601
521,21998138
511,21002293
521,21000439
701,21994291
691,21002163
912,21008995
922,21991606
551,21007483
781,20999137
1292,22006203
732,20993496
1393,21006361
1623,22006434
1042,21017892
1393,20983668
962,21992217
902,21007302
722,20999057
661,21985234
1022,21016720
632,20993326
1162,21996696
1232,21007182
1122,20994789
651,21974904
1192,21026709
1062,21003075
732,21984211
691,20993427
681,21002293
652,22008136
1232,21009237
992,20988687
611,21996866
601,21000219
891,21012322
751,22001975
752,21001942
741,21003105
1202,21998839
641,20987255
721,21009086
862,21998979
761,21004217
741,20999939
1172,22004149
731,20994769
721,21003866
731,21984773
1012,21020447
631,20975202
671,21994331
621,21008324
732,21021008
1112,21991476
4167,21006331
1192,21002814
741,21986055
631,20992535
732,21025075
1833,21993099
1343,20990180
1172,21002504
751,21983150
821,21016149
1113,21007552
2705,22026562
1493,20975012
1583,20989719
942,21995904
751,20988337
751,21010178
982,21991625
631,21020237
631,20998947
561,21989612
571,21010078
561,21001612
551,21998158
781,21014586
811,20983147
792,21992487
792,21004427
792,20982245
1022,22012365
792,21004768
792,20996051
771,22001545
1182,21000700
1012,21001411
732,21999791
771,21016891
902,20987615
1102,22006574
912,20997314
732,20996161
732,22003428
911,21003296
821,20996011
732,22006363
1082,20992285
751,21001291
1152,22009880
1203,21000429
611,20979881
561,22006484
571,21005369
822,21001872
3296,22344510
2905,20698161
3106,21304241
1693,21722790
762,20934395
761,20998426
1613,22000523
1132,20993456
1062,21001972
1513,22006985
852,20976284
831,21023273
752,22001604
2725,21049462
2053,20962098
751,21990093
801,21001271
721,20999788
1462,22005332
781,20994508
742,21002864
741,21991075
742,21005609
751,21000510
792,22001474
762,20997604
752,21000931
1352,22008608
931,20993076
781,20999117
772,21999961
802,21002143
802,20998736
752,21998529
842,20998586
741,21005690
852,21999520
801,20992786
751,21008715
751,21992718
751,20996522
752,21007292
822,22006875
781,20993096
772,21001561
732,22005973
731,20975533
751,21020107
872,21997366
741,20989159
741,21017141
731,21991866
801,21000520
932,21006050
892,21995733
872,20987886
1032,21018885
782,21997246
751,21002554
751,20990551
762,22003858
752,21001612
1133,20999638
742,22001925
741,20998607
802,21003104
751,22000453
762,20996161
1042,21008225
772,21984251
751,21005510
752,21006410
741,21998219
802,20994578
862,21007503
902,22002326
751,20995491
751,21001361
811,22000603
732,20986162
771,21011000
741,21999020
972,20998205
802,21012943
771,21989452
731,21000069
801,21012212
751,21986516
741,21003305
751,21004187
1092,21972289
952,21025827
772,21014496
1292,21996005
772,21002763
1903,21039935
2384,22055035
781,20912394
1112,20996843
811,21997176
1343,21006180
712,20981083
631,21996796
781,21012873
761,21004117
762,21997987
751,20992886
822,21009907
782,21999120
1102,21003656
741,20987515
882,21994431
802,20996953
591,20996102
2786,22005832
752,21012192
822,21000309
762,21991656
761,21013014
751,21001642
1333,21981356
621,21003355
561,21001722
591,21998179
612,20988937
551,21008135
531,21998278
531,21000379
541,21003536
591,21998509
541,21002323
541,21000600
581,21994171
581,21004637
591,20998045
641,22018707
561,20986193
822,20976434
951,22030069
801,21009767
872,21000800
802,21001191
1052,22000142
812,20992785
2044,21038391
3186,22005232
982,20967978
1202,21009407
901,21990454
751,20994278
751,21003245
782,21994741
741,21004638
731,20999929
741,21999270
741,21001161
811,20998396
781,21995543
891,21006291
791,20999638
872,21996745
842,21002283
791,21000240
801,21998238
781,21003105
811,20999568
802,21999510
801,20999398
781,21002554
1603,22016212
812,20986583
771,20997685
741,21993289
741,21001081
742,21005789
741,21999792
1172,21004337
731,20990521
742,21998468
742,21000460
741,21000390
741,21998609
1322,21001572
741,21000680
601,21982158
1082,21020287
701,20977196
621,21990203
601,21009557
591,20996502
601,22008608
731,21000961
601,21001451
651,21986717
601,21019696
602,20992985
601,21998790
1253,21036076
732,20973409
652,21994401
622,21004968
621,20997064
622,22002566
641,21004237
631,20989800
641,22006153
641,20998386
631,20996993
611,22004580
631,21001823
631,20996923
631,21998378
632,20995931
641,21008485
631,21999541
642,21002934
691,21002494
631,21992968
642,21000109
641,21002885
631,22000653
631,21002323
641,20981965
631,22015220
641,20997484
641,20997084
631,22003979
641,21004257
631,21000359
621,21993359
651,21007724
631,20993296
651,21976157
982,21015929
762,21007412
681,22007156
611,20998075
621,21002123
1042,22031250
761,20973159
751,20994508
2264,22042402
1102,20966475
1753,21011892
1032,21959405
962,21008144
621,20987545
741,22023156
741,21005068
741,20997204
741,21992918
732,21007052
732,21004447
741,21996706
731,20998045
741,21000380
741,21999250
742,21003846
742,21000720
732,21997116
742,20998997
741,21000150
742,22003077
732,21000059
741,20999889
741,22000603
741,20999598
1132,21016480
741,21976808
741,21008445
741,21000239
742,22000372
741,20997254
741,21000139
742,22005171
731,20991564
731,21000790
741,22004781
731,20999027
