dur_ns,gap_ns
19477,21866967
21601,21063215
17593,21259133
51496,21596318
22042,20855863
20599,21896493
17323,21038458
21871,21581721
21180,21249143
19246,21455433
21059,21059818
20339,21303015
22452,21450414
17052,21261187
12363,21677721
8837,20587428
18906,21418844
10560,21273580
8997,21321591
14207,21384469
12133,21274472
9959,21344524
13986,21384940
19326,21620193
20058,21059978
22884,21648285
20889,21308757
22472,21645831
21250,21645170
22051,20445842
22402,21942069
22793,21044469
21620,21263471
15359,21030282
7574,21278359
19486,21370333
6632,21259534
5731,21362557
17644,21412031
20939,21378268
8907,21201494
22312,21762191
22623,21281304
14096,21001228
18004,21382345
21330,21361065
21420,21671159
22392,21500718
20869,21015254
21430,21638267
22072,21101025
21872,21328053
20639,21375011
6021,20935364
4819,21302464
21029,21445114
20739,21363018
21370,21571953
21119,21027507
21621,21693731
21731,21333163
22182,21322872
21460,21026606
20649,21610374
21500,21648747
19888,21029300
19056,21308086
11542,21331699
20569,21331950
22292,21088833
17513,21628208
15850,21320829
10981,21243444
12704,21152031
19677,21581450
21681,21329496
21381,21624371
10891,20760444
4228,21228175
14547,21690205
21190,21412191
21159,21331530
21330,21818866
21290,20806040
19497,21623740
21159,21163944
22342,21256237
21190,21331961
21331,21325307
20488,21288559
9808,20984436
5681,21299038
20198,21724359
19186,21333094
19436,21370452
22272,21121844
19967,21507371
19146,21374811
14447,21292847
21651,21383437
20108,21303897
16100,21253092
21581,21452447
18915,21584005
21721,20762698
11712,21249836
21531,21947068
21371,21109491
13887,21075648
20889,21587913
15890,21243473
19116,21072973
21681,21913124
10890,21183461
17052,21190845
18224,21413033
20408,21266717
20699,21338502
20629,21077792
21300,21373549
18845,21253603
21160,21896553
16872,21048576
20829,21071370
15239,21316752
22362,21620934
22432,21385251
21730,21363640
22473,21253522
22012,21100565
15369,21524793
21250,21458399
5991,20876693
5200,21293908
4939,21351137
4178,21325878
4850,21330768
5340,21354032
5119,21317814
4128,21341308
4118,21338642
11732,21354854
3717,21292766
3997,21354433
18435,21612398
5681,21042706
4659,21338653
3467,21323534
5059,21345276
9568,21360423
9558,21334385
3918,21298247
4268,21333113
9789,21354833
7504,21338823
2846,21294560
2334,21331500
2444,21331239
2885,21335557
