dur_ns,gap_ns
9228,22068252
13425,20995172
9769,21046298
9669,21965008
12954,20901486
2776,20956298
6031,22236389
11281,20773314
7133,21090712
4519,21890868
6943,21046128
4970,20984812
8475,22038477
7565,21033483
4599,20939537
10731,22124889
5009,20880757
5600,20982438
4529,21952013
3908,21002325
7624,21039426
5751,21972081
7203,21070023
4319,20959674
5601,22005915
5390,21010401
7164,21056677
7324,21973765
4428,20967289
12203,21052490
4518,21935843
7514,21046478
8055,20998007
4859,21966261
9147,21022904
6983,21037902
7534,21967733
12924,20983700
4038,20978280
6272,22038356
4599,20965666
5961,21029777
10380,22118837
14247,21213143
12734,21009809
11512,21603818
6061,21027483
5410,20998197
1673,21954198
14527,21407508
14527,21073810
8937,21597506
13184,21039095
11642,20983299
1754,21882743
2595,21025469
13956,21381209
21711,22290130
4779,20364915
3898,20996484
3506,21964427
6703,21058331
2294,20943835
13085,22062301
8435,21054945
8737,20977177
10089,22032736
63700,21142049
5039,20763215
8846,22135499
10570,21071966
7805,20892408
13285,22021014
8446,21023174
7575,20899692
16441,21934912
8005,21099378
4910,20935559
7574,22049247
8526,21065233
4719,20878032
8075,22054486
5050,20954605
11432,21158069
4769,21834352
7845,21167326
11792,20954946
8315,21921697
6462,21087085
3967,20864846
2204,21971009
8987,21090912
5340,20949346
14588,22459058
7444,20613093
7334,20930901
4679,22118146
6593,21007164
11171,21294376
3176,21538054
11933,21150644
6702,20954586
1683,21933258
1283,21043713
2364,20919650
2716,22167980
5060,20916043
2465,20966037
12283,22104751
2175,20890775
11151,21137801
4107,22262879
6111,20662245
3556,21030338
3567,22069564
5380,20918047
3346,21006103
5300,21998731
11311,21042832
7113,21006964
9698,22131151
8726,21113995
10219,20730644
3166,21868376
7945,21279106
5621,20835922
11872,21991809
14788,21398060
7303,20580742
7544,22041752
9949,21025960
5120,20857783
3427,22014962
1653,21006634
2094,21064993
7504,22068763
5320,20938035
1683,20995402
4058,21976860
5891,20988840
9828,21152509
14377,22252539
10209,20912957
5721,20747886
2304,21896439
2846,21008136
3787,20999671
14537,22437848
4799,20948113
5491,20711568
13906,22206543
8446,20801818
10008,21089089
2816,21798674
9418,21517335
5260,20514447
14548,22502149
14427,20764438
4188,20692161
5491,21997058
9438,21219414
10409,20822848
7214,21994113
